Year,OPRHP Region,County,Facility,Attendance
2019,Long Island,Nassau,Jones Beach,8156628
2018,Long Island,Nassau,Jones Beach,8501395
2017,Long Island,Nassau,Jones Beach,5947537
2016,Long Island,Nassau,Jones Beach,5910338
2015,Long Island,Nassau,Jones Beach,5876186
2014,Long Island,Nassau,Jones Beach,5442032
2013,Long Island,Nassau,Jones Beach,3907682
2012,Long Island,Nassau,Jones Beach,5257296
2011,Long Island,Nassau,Jones Beach,5135946
2010,Long Island,Nassau,Jones Beach,5804746
2009,Long Island,Nassau,Jones Beach,6284928
2008,Long Island,Nassau,Jones Beach,6291943
2007,Long Island,Nassau,Jones Beach,6088941
2006,Long Island,Nassau,Jones Beach,6548384
2005,Long Island,Nassau,Jones Beach,6393868
2004,Long Island,Nassau,Jones Beach,5624676
2003,Long Island,Nassau,Jones Beach,5851724
2020,Niagara,Niagara,Joseph Davis St Pk,46485
2019,Niagara,Niagara,Joseph Davis St Pk,6
2018,Niagara,Niagara,Joseph Davis St Pk,50
2017,Niagara,Niagara,Joseph Davis St Pk,0
2016,Niagara,Niagara,Joseph Davis St Pk,0
2015,Niagara,Niagara,Joseph Davis St Pk,0
2014,Niagara,Niagara,Joseph Davis St Pk,0
2013,Niagara,Niagara,Joseph Davis St Pk,0
2012,Niagara,Niagara,Joseph Davis St Pk,0
2011,Niagara,Niagara,Joseph Davis St Pk,9416
2010,Niagara,Niagara,Joseph Davis St Pk,27644
2009,Niagara,Niagara,Joseph Davis St Pk,33131
2008,Niagara,Niagara,Joseph Davis St Pk,23039
2007,Niagara,Niagara,Joseph Davis St Pk,24563
2006,Niagara,Niagara,Joseph Davis St Pk,27521
2005,Niagara,Niagara,Joseph Davis St Pk,21007
2004,Niagara,Niagara,Joseph Davis St Pk,24760
2003,Niagara,Niagara,Joseph Davis St Pk,28691
2020,Thousand Islands,Jefferson,Keewaydin St Park,54973
2019,Thousand Islands,Jefferson,Keewaydin St Park,56769
2018,Thousand Islands,Jefferson,Keewaydin St Park,60342
2017,Thousand Islands,Jefferson,Keewaydin St Park,46465
2016,Thousand Islands,Jefferson,Keewaydin St Park,55546
2015,Thousand Islands,Jefferson,Keewaydin St Park,54680
2014,Thousand Islands,Jefferson,Keewaydin St Park,55749
2013,Thousand Islands,Jefferson,Keewaydin St Park,55350
2012,Thousand Islands,Jefferson,Keewaydin St Park,57334
2011,Thousand Islands,Jefferson,Keewaydin St Park,46881
2010,Thousand Islands,Jefferson,Keewaydin St Park,47572
2009,Thousand Islands,Jefferson,Keewaydin St Park,49052
2008,Thousand Islands,Jefferson,Keewaydin St Park,52622
2007,Thousand Islands,Jefferson,Keewaydin St Park,50531
2006,Thousand Islands,Jefferson,Keewaydin St Park,52347
2005,Thousand Islands,Jefferson,Keewaydin St Park,60418
2004,Thousand Islands,Jefferson,Keewaydin St Park,60564
2003,Thousand Islands,Jefferson,Keewaydin St Park,61412
2020,Finger Lakes,Yates,Keuka Lake St Pk,126159
2019,Finger Lakes,Yates,Keuka Lake St Pk,116615
2018,Finger Lakes,Yates,Keuka Lake St Pk,117209
2017,Finger Lakes,Yates,Keuka Lake St Pk,116542
2016,Finger Lakes,Yates,Keuka Lake St Pk,121969
2015,Finger Lakes,Yates,Keuka Lake St Pk,116283
2014,Finger Lakes,Yates,Keuka Lake St Pk,102883
2013,Finger Lakes,Yates,Keuka Lake St Pk,90998
2012,Finger Lakes,Yates,Keuka Lake St Pk,94589
2011,Finger Lakes,Yates,Keuka Lake St Pk,89788
2010,Finger Lakes,Yates,Keuka Lake St Pk,94676
2009,Finger Lakes,Yates,Keuka Lake St Pk,92911
2008,Finger Lakes,Yates,Keuka Lake St Pk,86390
2007,Finger Lakes,Yates,Keuka Lake St Pk,100887
2006,Finger Lakes,Yates,Keuka Lake St Pk,82082
2005,Finger Lakes,Yates,Keuka Lake St Pk,85575
2004,Finger Lakes,Yates,Keuka Lake St Pk,82578
2003,Finger Lakes,Yates,Keuka Lake St Pk,114731
2020,Niagara,Erie,Knox Farm Sp,512518
2019,Niagara,Erie,Knox Farm Sp,292815
2018,Niagara,Erie,Knox Farm Sp,316121
2017,Niagara,Erie,Knox Farm Sp,335318
2016,Niagara,Erie,Knox Farm Sp,155625
2015,Niagara,Erie,Knox Farm Sp,117887
2014,Niagara,Erie,Knox Farm Sp,0
2013,Niagara,Erie,Knox Farm Sp,0
2012,Niagara,Erie,Knox Farm Sp,0
2011,Niagara,Erie,Knox Farm Sp,0
2010,Niagara,Erie,Knox Farm Sp,123908
2009,Niagara,Erie,Knox Farm Sp,126838
2008,Niagara,Erie,Knox Farm Sp,88284
2007,Niagara,Erie,Knox Farm Sp,86169
2006,Niagara,Erie,Knox Farm Sp,42062
2005,Niagara,Erie,Knox Farm Sp,58517
2004,Niagara,Erie,Knox Farm Sp,49425
2003,Niagara,Erie,Knox Farm Sp,36331
2020,Palisades,Orange,Knox Headquarters,9897
2019,Palisades,Orange,Knox Headquarters,12535
2018,Palisades,Orange,Knox Headquarters,12889
2017,Palisades,Orange,Knox Headquarters,13539
2016,Palisades,Orange,Knox Headquarters,13555
2015,Palisades,Orange,Knox Headquarters,10733
2014,Palisades,Orange,Knox Headquarters,13122
2013,Palisades,Orange,Knox Headquarters,10234
2012,Palisades,Orange,Knox Headquarters,8789
2011,Palisades,Orange,Knox Headquarters,7819
2010,Palisades,Orange,Knox Headquarters,20489
2009,Palisades,Orange,Knox Headquarters,25363
2008,Palisades,Orange,Knox Headquarters,23823
2007,Palisades,Orange,Knox Headquarters,21855
2006,Palisades,Orange,Knox Headquarters,22364
2005,Palisades,Orange,Knox Headquarters,18234
2004,Palisades,Orange,Knox Headquarters,14933
2003,Palisades,Orange,Knox Headquarters,15635
2020,Thousand Islands,Jefferson,Kring Point,62026
2019,Thousand Islands,Jefferson,Kring Point,50483
2018,Thousand Islands,Jefferson,Kring Point,52236
2017,Thousand Islands,Jefferson,Kring Point,51891
2016,Thousand Islands,Jefferson,Kring Point,58546
2015,Thousand Islands,Jefferson,Kring Point,58811
2014,Thousand Islands,Jefferson,Kring Point,54550
2013,Thousand Islands,Jefferson,Kring Point,52467
2012,Thousand Islands,Jefferson,Kring Point,53479
2011,Thousand Islands,Jefferson,Kring Point,56671
2010,Thousand Islands,Jefferson,Kring Point,57655
2009,Thousand Islands,Jefferson,Kring Point,59283
2008,Thousand Islands,Jefferson,Kring Point,49976
2007,Thousand Islands,Jefferson,Kring Point,47947
2006,Thousand Islands,Jefferson,Kring Point,50868
2005,Thousand Islands,Jefferson,Kring Point,54609
2004,Thousand Islands,Jefferson,Kring Point,54612
2003,Thousand Islands,Jefferson,Kring Point,53450
2020,Allegany,Chautauqua,Lake Erie St Pk,88407
2019,Allegany,Chautauqua,Lake Erie St Pk,107355
2018,Allegany,Chautauqua,Lake Erie St Pk,112011
2017,Allegany,Chautauqua,Lake Erie St Pk,108403
2016,Allegany,Chautauqua,Lake Erie St Pk,109916
2015,Allegany,Chautauqua,Lake Erie St Pk,105170
2014,Allegany,Chautauqua,Lake Erie St Pk,97565
2013,Allegany,Chautauqua,Lake Erie St Pk,115512
2012,Allegany,Chautauqua,Lake Erie St Pk,108272
2011,Allegany,Chautauqua,Lake Erie St Pk,103665
2010,Allegany,Chautauqua,Lake Erie St Pk,104553
2009,Allegany,Chautauqua,Lake Erie St Pk,114267
2008,Allegany,Chautauqua,Lake Erie St Pk,116844
2007,Allegany,Chautauqua,Lake Erie St Pk,126203
2006,Allegany,Chautauqua,Lake Erie St Pk,131730
2005,Allegany,Chautauqua,Lake Erie St Pk,128101
2004,Allegany,Chautauqua,Lake Erie St Pk,150104
2003,Allegany,Chautauqua,Lake Erie St Pk,146490
2020,Saratoga/Capital,Washington,Lake Lauderdale *2,7718
2019,Saratoga/Capital,Washington,Lake Lauderdale *2,8588
2018,Saratoga/Capital,Columbia,Lake Lauderdale *2,14021
2017,Saratoga/Capital,Columbia,Lake Lauderdale *2,7776
2020,Genesee,Orleans,Lakeside Beach St Pk,103332
2019,Genesee,Orleans,Lakeside Beach St Pk,100587
2018,Genesee,Orleans,Lakeside Beach St Pk,90345
2017,Genesee,Orleans,Lakeside Beach St Pk,89518
2016,Genesee,Orleans,Lakeside Beach St Pk,86310
2015,Genesee,Orleans,Lakeside Beach St Pk,79560
2014,Genesee,Orleans,Lakeside Beach St Pk,77326
2013,Genesee,Orleans,Lakeside Beach St Pk,72697
2012,Genesee,Orleans,Lakeside Beach St Pk,71231
2011,Genesee,Orleans,Lakeside Beach St Pk,69325
2010,Genesee,Orleans,Lakeside Beach St Pk,70411
2009,Genesee,Orleans,Lakeside Beach St Pk,74000
2008,Genesee,Orleans,Lakeside Beach St Pk,74580
2007,Genesee,Orleans,Lakeside Beach St Pk,71022
2006,Genesee,Orleans,Lakeside Beach St Pk,63370
2005,Genesee,Orleans,Lakeside Beach St Pk,70872
2004,Genesee,Orleans,Lakeside Beach St Pk,76289
2003,Genesee,Orleans,Lakeside Beach St Pk,80831
2020,Palisades,Sullivan,Lake Superior,0
2019,Palisades,Sullivan,Lake Superior,11794
2018,Palisades,Sullivan,Lake Superior,10842
2017,Palisades,Sullivan,Lake Superior,10069
2016,Palisades,Sullivan,Lake Superior,13215
2015,Palisades,Sullivan,Lake Superior,12666
2014,Palisades,Sullivan,Lake Superior,11135
2013,Palisades,Sullivan,Lake Superior,12266
2012,Palisades,Sullivan,Lake Superior,13652
2011,Palisades,Sullivan,Lake Superior,14128
2010,Palisades,Sullivan,Lake Superior,16680
2009,Palisades,Sullivan,Lake Superior,14340
2008,Palisades,Sullivan,Lake Superior,17642
2007,Palisades,Sullivan,Lake Superior,17426
2006,Palisades,Sullivan,Lake Superior,16835
2005,Palisades,Sullivan,Lake Superior,18540
2004,Palisades,Sullivan,Lake Superior,0
2003,Palisades,Sullivan,Lake Superior,0
2020,Taconic,Columbia,Lake Taghkanic St Park,203430
2019,Taconic,Columbia,Lake Taghkanic St Park,185282
2018,Taconic,Columbia,Lake Taghkanic St Park,183099
2017,Taconic,Columbia,Lake Taghkanic St Park,186085
2016,Taconic,Columbia,Lake Taghkanic St Park,223976
2015,Taconic,Columbia,Lake Taghkanic St Park,238646
2014,Taconic,Columbia,Lake Taghkanic St Park,259146
2013,Taconic,Columbia,Lake Taghkanic St Park,245499
2012,Taconic,Columbia,Lake Taghkanic St Park,354072
2011,Taconic,Columbia,Lake Taghkanic St Park,262757
2010,Taconic,Columbia,Lake Taghkanic St Park,221494
2009,Taconic,Columbia,Lake Taghkanic St Park,196723
2008,Taconic,Columbia,Lake Taghkanic St Park,184023
2007,Taconic,Columbia,Lake Taghkanic St Park,170573
2006,Taconic,Columbia,Lake Taghkanic St Park,158219
2005,Taconic,Columbia,Lake Taghkanic St Park,172000
2004,Taconic,Columbia,Lake Taghkanic St Park,147096
2003,Taconic,Columbia,Lake Taghkanic St Park,158870
2020,Palisades,Orange/Rockland,Lake Welch,464793
2019,Palisades,Orange/Rockland,Lake Welch,312213
2018,Palisades,Rockland,Lake Welch,282757
2017,Palisades,Rockland,Lake Welch,286842
2016,Palisades,Rockland,Lake Welch,350558
2015,Palisades,Rockland,Lake Welch,366308
2014,Palisades,Rockland,Lake Welch,245483
2013,Palisades,Rockland,Lake Welch,241942
2012,Palisades,Rockland,Lake Welch,301320
2011,Palisades,Rockland,Lake Welch,330336
2010,Palisades,Rockland,Lake Welch,398659
2009,Palisades,Rockland,Lake Welch,297086
2008,Palisades,Rockland,Lake Welch,277594
2007,Palisades,Rockland,Lake Welch,265911
2006,Palisades,Rockland,Lake Welch,275683
2005,Palisades,Rockland,Lake Welch,289928
2004,Palisades,Rockland,Lake Welch,186750
2003,Palisades,Rockland,Lake Welch,156760
2020,Genesee,Livingston/Wyoming,Letchworth State Park,966430
2019,Genesee,Livingston/Wyoming,Letchworth State Park,841681
2018,Genesee,Livingston/Wyoming,Letchworth State Park,808167
2017,Genesee,Livingston/Wyoming,Letchworth State Park,834033
2016,Genesee,Livingston/Wyoming,Letchworth State Park,782603
2015,Genesee,Livingston/Wyoming,Letchworth State Park,852173
2014,Genesee,Livingston/Wyoming,Letchworth State Park,644441
2013,Genesee,Livingston/Wyoming,Letchworth State Park,662398
2012,Genesee,Livingston/Wyoming,Letchworth State Park,650391
2011,Genesee,Livingston/Wyoming,Letchworth State Park,661883
2010,Genesee,Livingston/Wyoming,Letchworth State Park,650477
2009,Genesee,Livingston/Wyoming,Letchworth State Park,634556
2008,Genesee,Livingston/Wyoming,Letchworth State Park,665326
2007,Genesee,Livingston/Wyoming,Letchworth State Park,705439
2006,Genesee,Livingston/Wyoming,Letchworth State Park,645693
2005,Genesee,Livingston/Wyoming,Letchworth State Park,640797
2004,Genesee,Livingston/Wyoming,Letchworth State Park,669110
2003,Genesee,Livingston/Wyoming,Letchworth State Park,649777
2020,Finger Lakes,Seneca,Lodi Point Marina/Boat,64697
2019,Finger Lakes,Seneca,Lodi Point Marina/Boat,19807
2018,Finger Lakes,Seneca,Lodi Point Marina/Boat,25461
2017,Finger Lakes,Seneca,Lodi Point Marina/Boat,37654
2016,Finger Lakes,Seneca,Lodi Point Marina/Boat,38730
2015,Finger Lakes,Seneca,Lodi Point Marina/Boat,41472
2014,Finger Lakes,Seneca,Lodi Point Marina/Boat,32693
2013,Finger Lakes,Seneca,Lodi Point Marina/Boat,22490
2012,Finger Lakes,Seneca,Lodi Point Marina/Boat,19337
2011,Finger Lakes,Seneca,Lodi Point Marina/Boat,28688
2010,Finger Lakes,Seneca,Lodi Point Marina/Boat,27614
2009,Finger Lakes,Seneca,Lodi Point Marina/Boat,24014
2008,Finger Lakes,Seneca,Lodi Point Marina/Boat,21911
2007,Finger Lakes,Seneca,Lodi Point Marina/Boat,18395
2006,Finger Lakes,Seneca,Lodi Point Marina/Boat,19377
2005,Finger Lakes,Seneca,Lodi Point Marina/Boat,26035
2004,Finger Lakes,Seneca,Lodi Point Marina/Boat,20363
2003,Finger Lakes,Seneca,Lodi Point Marina/Boat,15958
2020,Allegany,Chautauqua,Long Point Marina,144802
2019,Allegany,Chautauqua,Long Point Marina,104645
2018,Allegany,Chautauqua,Long Point Marina,115745
2017,Allegany,Chautauqua,Long Point Marina,118745
2016,Allegany,Chautauqua,Long Point Marina,105764
2015,Allegany,Chautauqua,Long Point Marina,99021
2014,Allegany,Chautauqua,Long Point Marina,62034
2013,Allegany,Chautauqua,Long Point Marina,64782
2012,Allegany,Chautauqua,Long Point Marina,75338
2011,Allegany,Chautauqua,Long Point Marina,79309
2010,Allegany,Chautauqua,Long Point Marina,129215
2009,Allegany,Chautauqua,Long Point Marina,138449
2008,Allegany,Chautauqua,Long Point Marina,137912
2007,Allegany,Chautauqua,Long Point Marina,139690
2006,Allegany,Chautauqua,Long Point Marina,144679
2005,Allegany,Chautauqua,Long Point Marina,158774
2004,Allegany,Chautauqua,Long Point Marina,173181
2003,Allegany,Chautauqua,Long Point Marina,192079
2020,Thousand Islands,Jefferson,Long Point River Park,182140
2019,Thousand Islands,Jefferson,Long Point River Park,35362
2018,Thousand Islands,Jefferson,Long Point River Park,36689
2017,Thousand Islands,Jefferson,Long Point River Park,38145
2016,Thousand Islands,Jefferson,Long Point River Park,39537
2015,Thousand Islands,Jefferson,Long Point River Park,35970
2014,Thousand Islands,Jefferson,Long Point River Park,35450
2013,Thousand Islands,Jefferson,Long Point River Park,32433
2012,Thousand Islands,Jefferson,Long Point River Park,30688
2011,Thousand Islands,Jefferson,Long Point River Park,28950
2010,Thousand Islands,Jefferson,Long Point River Park,28797
2009,Thousand Islands,Jefferson,Long Point River Park,29047
2008,Thousand Islands,Jefferson,Long Point River Park,25597
2007,Thousand Islands,Jefferson,Long Point River Park,26554
2006,Thousand Islands,Jefferson,Long Point River Park,25081
2005,Thousand Islands,Jefferson,Long Point River Park,22246
2004,Thousand Islands,Jefferson,Long Point River Park,23296
2003,Thousand Islands,Jefferson,Long Point River Park,23423
2020,Finger Lakes,Cayuga,Long Point St Pk,75225
2019,Finger Lakes,Cayuga,Long Point St Pk,50021
2018,Finger Lakes,Cayuga,Long Point St Pk,51515
2017,Finger Lakes,Cayuga,Long Point St Pk,33795
2016,Finger Lakes,Cayuga,Long Point St Pk,40432
2015,Finger Lakes,Cayuga,Long Point St Pk,42615
2014,Finger Lakes,Cayuga,Long Point St Pk,32798
2013,Finger Lakes,Cayuga,Long Point St Pk,32129
2012,Finger Lakes,Cayuga,Long Point St Pk,45190
2011,Finger Lakes,Cayuga,Long Point St Pk,46402
2010,Finger Lakes,Cayuga,Long Point St Pk,34723
2009,Finger Lakes,Cayuga,Long Point St Pk,27907
2008,Finger Lakes,Cayuga,Long Point St Pk,27912
2007,Finger Lakes,Cayuga,Long Point St Pk,29546
2006,Finger Lakes,Cayuga,Long Point St Pk,27170
2005,Finger Lakes,Cayuga,Long Point St Pk,35184
2004,Finger Lakes,Cayuga,Long Point St Pk,22341
2003,Finger Lakes,Cayuga,Long Point St Pk,24649
2020,Central,Madison,Lorenzo,18522
2019,Central,Madison,Lorenzo,45820
2018,Central,Madison,Lorenzo,49095
2017,Central,Madison,Lorenzo,33722
2016,Central,Madison,Lorenzo,52458
2015,Central,Madison,Lorenzo,51551
2014,Central,Madison,Lorenzo,43913
2013,Central,Madison,Lorenzo,34857
2012,Central,Madison,Lorenzo,29159
2011,Central,Madison,Lorenzo,29013
2010,Central,Madison,Lorenzo,28256
2009,Central,Madison,Lorenzo,31123
2008,Central,Madison,Lorenzo,40711
2007,Central,Madison,Lorenzo,42174
2006,Central,Madison,Lorenzo,48094
2005,Central,Madison,Lorenzo,43808
2004,Central,Madison,Lorenzo,44303
2003,Central,Madison,Lorenzo,52158
2020,Thousand Islands,Clinton,Macomb Reservation,29073
2019,Thousand Islands,Clinton,Macomb Reservation,32498
2018,Thousand Islands,Clinton,Macomb Reservation,30616
2017,Thousand Islands,Clinton,Macomb Reservation,26317
2016,Thousand Islands,Clinton,Macomb Reservation,25799
2015,Thousand Islands,Clinton,Macomb Reservation,27887
2014,Thousand Islands,Clinton,Macomb Reservation,29862
2013,Thousand Islands,Clinton,Macomb Reservation,31671
2012,Thousand Islands,Clinton,Macomb Reservation,31417
2011,Thousand Islands,Clinton,Macomb Reservation,30041
2010,Thousand Islands,Clinton,Macomb Reservation,18421
2009,Thousand Islands,Clinton,Macomb Reservation,37900
2008,Thousand Islands,Clinton,Macomb Reservation,29528
2007,Thousand Islands,Clinton,Macomb Reservation,38855
2006,Thousand Islands,Clinton,Macomb Reservation,29143
2005,Thousand Islands,Clinton,Macomb Reservation,39410
2004,Thousand Islands,Clinton,Macomb Reservation,30013
2003,Thousand Islands,Clinton,Macomb Reservation,31243
2020,Finger Lakes,Chemung,Mark Twain State Park and Soaring Eagles Golf Course,22329
2019,Finger Lakes,Chemung,Mark Twain State Park and Soaring Eagles Golf Course,25066
2018,Finger Lakes,Chemung,Mark Twain State Park and Soaring Eagles Golf Course,23148
2017,Finger Lakes,Chemung,Mark Twain State Park and Soaring Eagles Golf Course,118166
2020,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),630970
2019,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),1609568
2018,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),1398926
2017,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),1639925
2016,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),1624944
2015,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),1420816
2014,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),1464993
2013,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),1359347
2012,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),735488
2011,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),512146
2010,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),405062
2009,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),237310
2008,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),182144
2007,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),148712
2006,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),0
2005,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),0
2004,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),0
2003,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),0
2020,Thousand Islands,Jefferson,Mary Island River Park,3515
2019,Thousand Islands,Jefferson,Mary Island River Park,2619
2018,Thousand Islands,Jefferson,Mary Island River Park,2295
2017,Thousand Islands,Jefferon,Mary Island River Park,1352
2016,Thousand Islands,Jefferson,Mary Island River Park,1876
2015,Thousand Islands,Jefferson,Mary Island River Park,1862
2014,Thousand Islands,Jefferson,Mary Island River Park,3415
2013,Thousand Islands,Jefferson,Mary Island River Park,4083
2012,Thousand Islands,Jefferson,Mary Island River Park,4553
2011,Thousand Islands,Jefferson,Mary Island River Park,0
2010,Thousand Islands,Jefferson,Mary Island River Park,4077
2009,Thousand Islands,Jefferson,Mary Island River Park,4503
2008,Thousand Islands,Jefferson,Mary Island River Park,4835
2007,Thousand Islands,Jefferson,Mary Island River Park,4652
2006,Thousand Islands,Jefferson,Mary Island River Park,3421
2005,Thousand Islands,Jefferson,Mary Island River Park,3369
2004,Thousand Islands,Jefferson,Mary Island River Park,4200
2003,Thousand Islands,Jefferson,Mary Island River Park,3313
2020,Saratoga/Capital,Schoharie,Max V Shaul Campsite,37578
2019,Saratoga/Capital,Schoharie,Max V Shaul Campsite,34083
2018,Saratoga/Capital,Schoharie,Max V Shaul Campsite,17804
2017,Saratoga/Capital,Schoharie,Max V Shaul Campsite,21677
2016,Saratoga,Schoharie,Max V Shaul Campsite,19313
2015,Saratoga,Schoharie,Max V Shaul Campsite,12586
2014,Saratoga,Schoharie,Max V Shaul Campsite,25885
2013,Saratoga,Schoharie,Max V Shaul Campsite,23487
2012,Saratoga,Schoharie,Max V Shaul Campsite,17659
2011,Saratoga,Schoharie,Max V Shaul Campsite,12521
2010,Saratoga,Schoharie,Max V Shaul Campsite,3877
2009,Saratoga,Schoharie,Max V Shaul Campsite,5511
2008,Saratoga,Schoharie,Max V Shaul Campsite,5712
2007,Saratoga,Schoharie,Max V Shaul Campsite,4398
2006,Saratoga,Schoharie,Max V Shaul Campsite,3826
2005,Saratoga,Schoharie,Max V Shaul Campsite,4769
2004,Saratoga,Schoharie,Max V Shaul Campsite,6811
2003,Saratoga,Schoharie,Max V Shaul Campsite,6307
2020,Central,Oswego,Mexico Point Boat Launch,16953
2019,Central,Oswego,Mexico Point Boat Launch,11520
2018,Central,Oswego,Mexico Point Boat Launch,14753
2017,Central,Oswego,Mexico Point Boat Launch,5413
2016,Central,Oswego,Mexico Point Boat Launch,16019
2015,Central,Oswego,Mexico Point Boat Launch,14468
2014,Central,Oswego,Mexico Point Boat Launch,15239
2013,Central,Oswego,Mexico Point Boat Launch,13214
2012,Central,Oswego,Mexico Point Boat Launch,18571
2011,Central,Oswego,Mexico Point Boat Launch,18341
2010,Central,Oswego,Mexico Point Boat Launch,20509
2009,Central,Oswego,Mexico Point Boat Launch,25845
2008,Central,Oswego,Mexico Point Boat Launch,27678
2007,Central,Oswego,Mexico Point Boat Launch,30232
2006,Central,Oswego,Mexico Point Boat Launch,24936
2005,Central,Oswego,Mexico Point Boat Launch,22833
2004,Central,Oswego,Mexico Point Boat Launch,28512
2003,Central,Oswego,Mexico Point Boat Launch,30605
2020,Allegany,Chautauqua,Midway State Park,18311
2019,Allegany,Chautauqua,Midway State Park,81050
2018,Allegany,Chautauqua,Midway State Park,84959
2017,Allegany,Chautauqua,Midway State Park,82942
2016,Allegany,Chautauqua,Midway State Park,91494
2015,Allegany,Chautauqua,Midway State Park,106596
2014,Allegany,Chautauqua,Midway State Park,89838
2013,Allegany,Chautauqua,Midway State Park,97944
2012,Allegany,Chautauqua,Midway State Park,103567
2011,Allegany,Chautauqua,Midway State Park,94430
2010,Allegany,Chautauqua,Midway State Park,106948
2009,Allegany,Chautauqua,Midway State Park,116996
2008,Allegany,Chautauqua,Midway State Park,155325
2007,Allegany,Chautauqua,Midway State Park,146965
2006,Allegany,Chautauqua,Midway State Park,7040
2005,Allegany,Chautauqua,Midway State Park,0
2004,Allegany,Chautauqua,Midway State Park,0
2003,Allegany,Chautauqua,Midway State Park,0
2020,Taconic,Dutchess,Mills Norrie St Pk,244492
2019,Taconic,Dutchess,Mills Norrie St Pk,199967
2018,Taconic,Dutchess,Mills Norrie St Pk,167795
2017,Taconic,Dutchess,Mills Norrie St Pk,202606
2016,Taconic,Dutchess,Mills Norrie St Pk,203952
2015,Taconic,Dutchess,Mills Norrie St Pk,202292
2014,Taconic,Dutchess,Mills Norrie St Pk,203730
2013,Taconic,Dutchess,Mills Norrie St Pk,203764
2012,Taconic,Dutchess,Mills Norrie St Pk,198035
2011,Taconic,Dutchess,Mills Norrie St Pk,186366
2010,Taconic,Dutchess,Mills Norrie St Pk,218737
2009,Taconic,Dutchess,Mills Norrie St Pk,215731
2008,Taconic,Dutchess,Mills Norrie St Pk,244539
2007,Taconic,Dutchess,Mills Norrie St Pk,248699
2006,Taconic,Dutchess,Mills Norrie St Pk,247359
2005,Taconic,Dutchess,Mills Norrie St Pk,253501
2004,Taconic,Dutchess,Mills Norrie St Pk,251855
2003,Taconic,Dutchess,Mills Norrie St Pk,238902
2020,Saratoga/Capital,Schoharie,Minekill,208662
2019,Saratoga/Capital,Schoharie,Minekill,149981
2018,Saratoga/Capital,Schoharie,Minekill,129605
2017,Saratoga/Capital,Schoharie,Minekill,107884
2016,Saratoga,Schoharie,Minekill,113355
2015,Saratoga,Schoharie,Minekill,78367
2014,Saratoga,Schoharie,Minekill,84343
2013,Saratoga,Schoharie,Minekill,89293
2012,Saratoga,Schoharie,Minekill,91600
2011,Saratoga,Schoharie,Minekill,62638
2010,Saratoga,Schoharie,Minekill,67447
2009,Saratoga,Schoharie,Minekill,65235
2008,Saratoga,Schoharie,Minekill,56361
2007,Saratoga,Schoharie,Minekill,68614
2006,Saratoga,Schoharie,Minekill,65073
2005,Saratoga,Schoharie,Minekill,62736
2004,Saratoga,Schoharie,Minekill,60585
2003,Saratoga,Schoharie,Minekill,63219
2020,Palisades,Ulster,Minnewaska Park,581154
2019,Palisades,Ulster,Minnewaska Park,398406
2018,Palisades,Ulster,Minnewaska Park,370884
2017,Palisades,Ulster,Minnewaska Park,392078
2016,Palisades,Ulster,Minnewaska Park,360671
2015,Palisades,Ulster,Minnewaska Park,367965
2014,Palisades,Ulster,Minnewaska Park,290659
2013,Palisades,Ulster,Minnewaska Park,289836
2012,Palisades,Ulster,Minnewaska Park,267206
2011,Palisades,Ulster,Minnewaska Park,219205
2010,Palisades,Ulster,Minnewaska Park,216905
2009,Palisades,Ulster,Minnewaska Park,237950
2008,Palisades,Ulster,Minnewaska Park,232032
2007,Palisades,Ulster,Minnewaska Park,205986
2006,Palisades,Ulster,Minnewaska Park,175302
2005,Palisades,Ulster,Minnewaska Park,324944
2004,Palisades,Ulster,Minnewaska Park,343988
2003,Palisades,Ulster,Minnewaska Park,330659
2020,Long Island,Suffolk,Montauk Downs,87534
2019,Long Island,Suffolk,Montauk Downs,89434
2018,Long Island,Suffolk,Montauk Downs,97250
2017,Long Island,Suffolk,Montauk Downs,102690
2016,Long Island,Suffolk,Montauk Downs,98426
2015,Long Island,Suffolk,Montauk Downs,87255
2014,Long Island,Suffolk,Montauk Downs,120860
2013,Long Island,Suffolk,Montauk Downs,126835
2012,Long Island,Suffolk,Montauk Downs,98710
2011,Long Island,Suffolk,Montauk Downs,127380
2010,Long Island,Suffolk,Montauk Downs,185625
2009,Long Island,Suffolk,Montauk Downs,170360
